gene	p	score
OR13C5	0.460399241499949	0.0994279611102819
OR2AP1	0.4764	0.0591909724224933
OR2A12	0.4781	0.0549227592288897
OR7G1	0.47897955283776	0.0527148515221085
OR11H4	0.481052198327184	0.0475129659737878
OR6F1	0.504564229960752	-0.0114410774694816
OR13C2	0.510910788046274	-0.0273527001784503
OR4S1	0.521718678798748	-0.0544675740268755
OR6C1	0.523824398418322	-0.0597544514831031
OR11H6	0.527719795969366	-0.0695392289065437
OR4C16	0.534691087624396	-0.0870675424530623
OR52K1	0.543510855664496	-0.109282673694048
OR1J2	0.546432403827779	-0.116652803297042
OR7G3	0.550548295579826	-0.127046735243995
OR52L1	0.55083861294448	-0.127780383976748
OR52E4	0.567004512781314	-0.168752941693964
OR8B2	0.567739493451322	-0.170621980913346
OR6K3	0.573832483205692	-0.186139924721583
OR52B2	0.576081524055917	-0.191879045280279
OR4K13	0.583842919931206	-0.211734514125991
OR2A4	0.586	-0.217267350341863
OR11G2	0.589575769157271	-0.226453834030589
GNAL	0.591170677211189	-0.230557426072045
OR7D2	0.593269047024063	-0.235962323818
OR1D2	0.603610225051081	-0.262702940868867
OR2M3	0.607	-0.271508452017839
OR10H1	0.6091	-0.27697409170623
OR5L1	0.610166252627556	-0.279752372059798
OR2D2	0.611628864160873	-0.283566945061604
OR8U1	0.6127	-0.286363144042692
OR52B4	0.613440591512443	-0.288297766123904
OR2AJ1	0.6175	-0.298921424090857
OR2T8	0.6175	-0.298921424090857
OR5I1	0.62194064296109	-0.310581603781882
OR9Q1	0.622168486968793	-0.311181000306501
OR5P3	0.627982184068559	-0.326513824023739
OR10Q1	0.630010730717782	-0.331881767115991
OR6Q1	0.631914330653104	-0.336927785780264
OR2A2	0.63246556615561	-0.33839058565721
OR52E6	0.633101324435167	-0.340078581339205
OR9I1	0.634038424789428	-0.342568436970901
OR4C15	0.635806053300798	-0.347270789581267
OR10V1	0.63593467491805	-0.347613255248656
OR8K5	0.6364	-0.348852562620156
OR51A2	0.643	-0.366489293889434
OR5K3	0.646150906231166	-0.374949280613559
OR5H14	0.6505	-0.386670713645716
OR2A14	0.652769407164592	-0.392808148709497
OR52K2	0.65351541254465	-0.394828886570512
OR52N2	0.65967087565597	-0.411565055870802
OR2M7	0.662122036190448	-0.41826151029674
OR10G2	0.665065633773832	-0.426328171994459
OR5AP2	0.6696	-0.438808915084959
OR51I2	0.670710285319496	-0.441875321927603
OR5H2	0.6752	-0.454317947699912
OR1F1	0.680386305840156	-0.468779312825873
OR7G2	0.685174704905261	-0.482218705449123
OR8S1	0.687974981257993	-0.490118514490987
ARRB2	0.688702612121301	-0.49217621709411
OR6B1	0.6988	-0.52095230095846
OR2D3	0.711869202839965	-0.558853664530786
OR4E2	0.72102338708492	-0.585884363444124
OR1J1	0.732878625292155	-0.621542486093573
OR2AT4	0.742826588660718	-0.652084251828175
OR4F6	0.7462	-0.662579348733175
OR4K14	0.746225874259507	-0.662660127942758
OR8D1	0.752179217686575	-0.681363417490342
OR5D18	0.752212291816725	-0.681467987168252
OR4D1	0.754836172808655	-0.689787780173485
OR4A47	0.754990518749357	-0.690278664206024
OR51B2	0.76226682738244	-0.713613277157147
OR51G1	0.766169574740184	-0.726290257635411
OR5M10	0.7672	-0.72965678942305
OR7A17	0.770090696614679	-0.739145572048996
OR3A2	0.772236840171104	-0.74623359120622
OR1C1	0.772898322774111	-0.748425818092525
OR1M1	0.774669626188831	-0.754313916939873
OR52N4	0.790475385497361	-0.808071837071244
OR6A2	0.79123976539417	-0.810730473534607
OR6K6	0.801481721030737	-0.846925661702598
OR5J2	0.80610474944509	-0.863631232722791
OR13F1	0.812918020256067	-0.888700691264393
OR14A2	0.815361830983845	-0.897829718955859
OR14A16	0.818106983786326	-0.908174503686559
OR10P1	0.822722662393979	-0.925790865418239
OR2V2	0.833243910685149	-0.967063724052295
OR1E1	0.833706948507254	-0.96891800160078
